databas,skolnivå,dataset,år,uttag,format,url
siris,Gymnasieskolan,137-Antal elever,2016,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2016-1.csv
siris,Gymnasieskolan,137-Antal elever,2018,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2018-1.csv
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",1999,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/1999-1.xlsx
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",2010,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/2010-1.xlsx
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",2005,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/2005-1.xlsx
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",2012,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/2012-1.xlsx
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",2009,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/2009-1.xlsx
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",2002,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/2002-1.xlsx
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",1998,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/1998-1.xlsx
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",2000,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/2000-1.xlsx
siris,Gymnasieskolan,"151-Antal elever som började 2010 eller tidigare, per program",2007,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/151-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20program/EXCEL/2007-1.xlsx
